City_ID,City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,lengshuijiang,27.69,53.53,85,100,1.32,CN,1603237024
359,warrnambool,-38.38,57.0,82,17,3.02,AU,1603236815
360,male,4.17,82.4,83,75,11.41,MV,1603237011
361,kabare,-2.47,60.37,86,63,1.68,CD,1603237025
362,miranda,3.25,80.6,61,75,10.29,CO,1603237025
363,acapulco,16.86,86.0,79,75,8.05,MX,1603236937
364,aklavik,68.22,23.0,79,90,14.99,CA,1603236852
365,batemans bay,-35.72,66.99,79,63,1.01,AU,1603237025
366,mikhaylovka,50.06,39.0,71,23,5.01,RU,1603237026
367,acarau,-2.89,78.98,75,12,16.93,BR,1603237026
368,launceston,-41.45,59.0,66,75,8.05,AU,1603237026
369,conde,-7.26,77.0,83,40,5.82,BR,1603236919
370,san cristobal,7.77,80.6,78,40,5.82,VE,1603236866
371,matara,5.95,77.67,88,14,10.22,LK,1603236871
372,sao tome,0.34,78.69,82,97,8.21,ST,1603237026
373,hay river,60.82,24.8,73,75,19.46,CA,1603236892
374,kalmunai,7.42,77.81,77,28,5.14,LK,1603237027
375,kloulklubed,7.04,78.8,88,90,4.7,PW,1603236861
376,sechura,-5.56,68.25,70,28,15.19,PE,1603236893
377,medowie,-32.73,75.0,60,40,12.75,AU,1603237027
378,kavaratti,10.57,81.09,74,99,10.8,IN,1603236934
379,stanghelle,60.55,46.0,95,100,4.88,NO,1603237027
380,bambanglipuro,-7.95,80.2,78,95,2.37,ID,1603237027
381,huarmey,-10.07,64.42,79,33,7.18,PE,1603237028
382,gladstone,-23.85,77.0,65,75,9.17,AU,1603237028
383,seminole,28.71,79.0,78,1,4.7,US,1603237028
384,sosnovo-ozerskoye,52.52,17.89,93,24,6.91,RU,1603237028
385,russell,32.35,78.8,69,1,3.36,US,1603237028
386,ballina,-28.87,75.99,53,3,5.82,AU,1603236896
387,boyabat,41.47,52.88,82,88,1.19,TR,1603237029
388,lufilufi,-13.87,82.4,94,90,3.36,WS,1603237029
389,carsamba,41.2,59.0,87,75,1.12,TR,1603237029
390,general roca,-39.03,73.4,25,40,23.04,AR,1603237029
391,monaghan,54.25,55.0,87,90,13.87,IE,1603236988
392,arua,3.02,64.36,98,100,1.1,UG,1603237029
393,tuyen quang,21.82,68.18,76,100,1.97,VN,1603237030
394,zhigansk,66.77,15.85,97,100,2.44,RU,1603236841
395,husavik,66.04,24.8,85,82,4.7,IS,1603236800
396,vila do maio,15.13,80.6,78,95,8.05,CV,1603237030
397,vardo,70.37,38.52,75,87,5.48,NO,1603236720
398,khartoum,15.55,84.99,20,0,9.17,SD,1603236803
399,khovu-aksy,51.13,25.45,89,20,3.42,RU,1603237031
400,sao gabriel da cachoeira,-0.13,81.59,72,83,1.39,BR,1603237031
401,fort frances,48.6,30.0,92,90,12.75,CA,1603237031
402,gibara,21.11,75.2,83,75,4.7,CU,1603237031
403,pangody,65.85,26.2,98,100,6.78,RU,1603237031
404,soe,-9.86,81.68,42,90,3.13,ID,1603237031
405,kamalapuram,14.58,74.8,89,100,4.72,IN,1603237032
406,coquimbo,-29.95,55.4,87,20,10.29,CL,1603237016
407,balkanabat,39.51,56.44,79,32,3.67,TM,1603237032
408,stepnyak,52.83,45.25,56,63,10.94,KZ,1603237032
409,fatehabad,29.52,69.49,23,0,5.86,IN,1603237032
410,garowe,8.41,77.07,76,0,5.7,SO,1603237032
411,binga,-17.62,76.17,28,0,4.0,ZW,1603236847
412,porto walter,-8.27,74.64,90,87,3.98,BR,1603237033
413,tual,-5.67,77.59,89,100,12.66,ID,1603236857
414,sitka,57.05,44.6,70,40,5.82,US,1603236804
415,komsomolskiy,40.43,55.4,50,0,6.93,UZ,1603236864
416,rabo de peixe,37.8,60.8,67,40,11.41,PT,1603236875
417,walvis bay,-22.96,57.0,81,0,8.05,NA,1603236871
418,benghazi,32.12,69.48,63,7,9.22,LY,1603236792
419,mayma,52.02,38.32,73,90,5.46,RU,1603237033
420,auki,-8.77,84.16,72,100,4.34,SB,1603236926
421,la palma,33.85,79.0,54,1,10.29,US,1603237034
422,sorland,67.67,42.04,64,3,17.6,NO,1603236786
423,herat,34.5,43.2,55,0,6.08,AF,1603237034
424,dawei,14.08,74.77,85,100,4.32,MM,1603237034
425,belize,17.25,86.0,66,40,9.17,BZ,1603237034
426,isla vista,34.41,77.0,77,90,6.93,US,1603237034
427,la asuncion,11.03,75.2,94,9,11.41,VE,1603237035
428,lujan,-34.57,57.0,51,70,4.0,AR,1603237035
429,ketchikan,55.34,46.4,81,20,3.36,US,1603236890
430,geraldton,-28.77,66.2,72,75,13.87,AU,1603236612
431,ambilobe,-13.2,72.52,77,24,3.6,MG,1603237035
432,aguimes,27.91,75.2,73,75,9.17,ES,1603237035
433,nalut,30.33,61.68,38,3,16.75,LY,1603236883
434,andenes,69.31,28.4,79,7,8.05,NO,1603236908
435,phan thiet,10.93,77.47,86,100,5.19,VN,1603237036
436,magadi,12.97,69.8,100,75,3.36,IN,1603237036
437,porto novo,6.5,80.6,88,40,10.29,BJ,1603236871
438,ust-kuyga,70.02,8.58,94,99,6.64,RU,1603237036
